ID PERGUNTA,ID RESPOSTA ACEITA,QUANTIDADE DE RESPOSTAS,FECHADA,DATA FECHAMENTO,QUANTIDADE COMENTÁRIO,DATA CRIAÇÃO,FOI RESPONDIDA,ÚLTIMA DATA DE EDIÇÃO,PONTOS,TAGS,TITLE,QUANTIDADE VISUALIZAÇÕES,DESCRIÇAO,TEMPO (minutos) ENTRE PERGUNTA E 1º COMENTARIO,TEMPO (minutos) ENTRE PERGUNTA E 1ª RESPOSTA,TEMPO (minutos) ENTRE 1º COMENTARIO E 1ª RESPOSTA,COERENCIA ENTRE TITULO E DESCRICAO,TITULO BEM DEFINIDO,EXEMPLO,USO DA NORMA CULTA,SER EDUCADO,DETALHE DO CONTEXTO DO PROBLEMA,DESCRICAO CURTA,OBJETIVIDADE,CLAREZA,PERGUNTA BEM DEFINIDA,EVITAR CRIAR PERGUNTAS DUPLICADAS,EVITAR CRIAR PERGUNTAS SOBRE TARABALHOS ACADEMICOS
54358,0,2,FALSE,null,4,Sat Mar 14 16:03:36 BRT 2015,TRUE,Thu Mar 24 09:41:54 BRT 2016,-1,"[java, random]",Gerar dados aleatórios dentro de um intervalo,1842,"Não consigo retornar nenhum número. Ex: Se usar ""menor 1500"" e ""maior 5000"", era para aparecer nesse intervalo caso não tivesse entrava no `while`, só que não está retornando nada.

    public int aleatoriar(int maior, int menor) {	
		int retorno = 0;
		Calendar lCDateTime = Calendar.getInstance();
		int datarecebe = (int) (lCDateTime.getTimeInMillis());	
		int recebe = datarecebe % 10000;
		
		if (recebe > maior || recebe < menor) {
			while(recebe >= maior && recebe <= menor) {
				retorno = recebe;
			}
		} else {
			retorno = recebe;
		}		
		return retorno;
	}",17,19,2,1,1,1,1,0,0,1,1,1,1,0,1
54355,54356,1,FALSE,null,2,Sat Mar 14 15:53:56 BRT 2015,TRUE,null,2,"[java, hexadecimal]",Gerando uma string hexadecimal,122,"Boa tarde pessoal, bem estou gerando uma string hexadecimal aleatória nesse padrão: 81c1328d-4dae-4af7-9974-893bb8ec90d4

Porém gostaria de otimizar esse código aqui:

    public String geraKee(){
        
        String letras = ""abcdef0123456789"";  

        Random random = new Random();  

        String armazenaChaves = """";  
        int index = -1;  
        
        for( int i = 0; i < 8; i++ ) {  
           index = random.nextInt( letras.length() );  
           armazenaChaves += letras.substring( index, index + 1 );  
        }
        armazenaChaves += ""-"";
        for( int i = 0; i < 4; i++ ) {  
           index = random.nextInt( letras.length() );  
           armazenaChaves += letras.substring( index, index + 1 );  
        }
        armazenaChaves += ""-4"";
        for( int i = 0; i < 3; i++ ) {  
           index = random.nextInt( letras.length() );  
           armazenaChaves += letras.substring( index, index + 1 );  
        }
        armazenaChaves += ""-"";
        for( int i = 0; i < 4; i++ ) {  
           index = random.nextInt( letras.length() );  
           armazenaChaves += letras.substring( index, index + 1 );  
        }
        armazenaChaves += ""-"";
        for( int i = 0; i < 12; i++ ) {  
           index = random.nextInt( letras.length() );  
           armazenaChaves += letras.substring( index, index + 1 );  
        }
        return armazenaChaves;  
    
    }",2,5,2,1,1,1,1,0,0,1,1,1,1,0,1
54349,0,1,FALSE,null,1,Sat Mar 14 14:36:34 BRT 2015,TRUE,Sat Mar 14 15:19:42 BRT 2015,2,[java],Como pegar 4 últimos números de uma variável?,79,"Tenho que pegar últimos números de uma variável e eu não sei como fazer. Estou pegando os milissegundos e preciso jogar nessa variável `lol`, onde preciso que retorne só os últimos 4 dígitos de `lol` não ela inteira.

    package trabalho01;
    
    import java.util.Calendar;
    
    public class aleatorio {
    
    	public int aleatoriar() {		
    		Calendar lCDateTime = Calendar.getInstance();
    		int lol = (int) (lCDateTime.getTimeInMillis());		
    		return lol;
    	}
    }

",97,8,-89,1,1,1,1,0,1,1,1,1,1,0,1
54279,0,2,FALSE,null,2,Fri Mar 13 17:23:15 BRT 2015,TRUE,Sat Mar 14 07:31:16 BRT 2015,3,"[java, tomcat]",Não consigo instalar o tomcat e não recebo mensagem ao acessar localhost:8080,183,"Estou iniciando com Java. Baixei o e-book e comecei a ler.
Estou paralisado, não consigo completar a instalação do Tomcat.

Baixei em http://tomcat.apache.org. 
Na opção ""tomcat 8.0.20 Released"", optei por ""apache-tomcat-8.0.20-windows-x86"". Meu sistema é Windows 7 Profissional 32 bits. Após descompactar o arquivo, ele gerou um diretório e subdiretórios em ""apache-tomcat-8.0.20-windows-x86"".

Seguindo orientação do livro acessei o subdiretório `bin` e executo o arquivo `startup.bat` para iniciar o servidor. Não existe nenhuma ocorrência. Nada acontece.

Em seguida tento acessar o endereço http://localhost:8080, que deveria acessar uma página que retornaria confirmando e execução. O browser Google Chrome retorna mensagem informando que a página não esta disponível.

A propósito também baixei e instalei o JDK Development 8.

Como não existe nenhum retorno, nenhuma informação aparece no subdiretório `log`, estou realmente voando. Se alguém já passou por algo parecido e puder ajudar, seria ótimo.
",1,4292,4291,1,0,0,0,0,1,1,1,0,0,0,1
54259,54260,1,FALSE,null,0,Fri Mar 13 16:12:52 BRT 2015,TRUE,Thu Mar 24 08:08:03 BRT 2016,3,"[java, array]",Tamanho de um ArrayList,148,"Em Java...

- Qual o tamanho inicial de um `ArrayList`?
- Atingindo o tamanho máximo, quando ele se ""expande"", seu tamanho é duplicado?",Sem comentário,5,Sem resposta/comentario,1,0,0,1,0,1,1,1,0,0,0,1
54244,0,1,FALSE,null,5,Fri Mar 13 15:11:44 BRT 2015,TRUE,Tue May 19 08:55:23 BRT 2015,6,"[java, thread, multithreading]",Controle de Threads em Java,433,"Tenho um sistema multi thread em Java que utiliza a classe `ThreadGroup` que está deprecated.

Com a minha implementação atual também não consigo ""matar"" uma thread em lock. Como implementar um código eficiente para controle de `Thread` em Java?

Preciso ter ao mínimo controle sobre o tempo de execução, inicialização e finalização do meu `Pool` de Threads.

Código simplificado do que preciso fazer de uma forma mais eficiente:
    
    int threadAtivas = 5;
    ThreadGroup threadGroup = new ThreadGroup(""threads"");
    while(true){
        if(verificaQtdThreadsAtivas(threadGroup)){
            criaNovaThread(threadGroup);
        }else{
            Thread.sleep(1000);
        }
    }


",441,7192,6750,1,1,1,1,0,1,1,1,1,1,0,1
54232,54305,1,FALSE,null,2,Fri Mar 13 13:46:19 BRT 2015,TRUE,null,0,"[java, android]",Erro ao encerrar um serviço em java no android,47,"Olá!
Estou com erro ao fechar o serviço da minha aplicação:

    03-13 13:34:13.572: E/test(9039): Exception
    03-13 13:34:13.582: E/AndroidRuntime(9039): FATAL EXCEPTION: main
    03-13 13:34:13.582: E/AndroidRuntime(9039): Process: com.emersonbarcellos.mototaxi, PID: 9039
    03-13 13:34:13.582: E/AndroidRuntime(9039): java.lang.RuntimeException: Unable to stop service com.emersonbarcellos.mototaxi.GpsService@41ab6c48: java.lang.RuntimeException: WakeLock under-locked DoNotSleep
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.app.ActivityThread.handleStopService(ActivityThread.java:2844)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.app.ActivityThread.access$2200(ActivityThread.java:145)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1367)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.os.Handler.dispatchMessage(Handler.java:102)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.os.Looper.loop(Looper.java:136)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.app.ActivityThread.main(ActivityThread.java:5214)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at java.lang.reflect.Method.invokeNative(Native Method)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at java.lang.reflect.Method.invoke(Method.java:515)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:814)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:630)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at dalvik.system.NativeStart.main(Native Method)
    03-13 13:34:13.582: E/AndroidRuntime(9039): Caused by: java.lang.RuntimeException: WakeLock under-locked DoNotSleep
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.os.PowerManager$WakeLock.release(PowerManager.java:764)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.os.PowerManager$WakeLock.release(PowerManager.java:735)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at    com.emersonbarcellos.mototaxi.GpsService.onDestroy(GpsService.java:152)
    03-13 13:34:13.582: E/AndroidRuntime(9039): 	at android.app.ActivityThread.handleStopService(ActivityThread.java:2827)


Service:

   

    public class GpsService extends Service {

	WakeLock wakeLock;
	String chamado = null;
	private LocationManager locationManager;
	SharedPreferences sharedPrefs;

	public GpsService() {
		// TODO Auto-generated constructor stub
	}

	@Override
	public IBinder onBind(Intent arg0) {
		// TODO Auto-generated method stub
		return null;
	}

	@Override
	public void onCreate() {
		// TODO Auto-generated method stub
		super.onCreate();

		PowerManager pm = (PowerManager) getSystemService(this.POWER_SERVICE);

		wakeLock = pm.newWakeLock(PowerManager.PARTIAL_WAKE_LOCK, ""DoNotSleep"");

		// Toast.makeText(getApplicationContext(), ""Service Created"",
		// Toast.LENGTH_SHORT).show();
		sharedPrefs = PreferenceManager.getDefaultSharedPreferences(this);
		Log.e(""Google"", ""Service Created"");

	}

	@Override
	public int onStartCommand(Intent intent, int flags, int startId) {
		super.onStartCommand(intent, flags, startId);

		// Bundle b = intent.getExtras();
		// chamado = b.get(""ID_CHAMADO"").toString();
		return startId;
	}

	@Override
	@Deprecated
	public void onStart(Intent intent, int startId) {
		// TODO Auto-generated method stub
		super.onStart(intent, startId);

		Log.e(""Google"", ""Service Started"");

		locationManager = (LocationManager) getApplicationContext()
				.getSystemService(Context.LOCATION_SERVICE);

		locationManager.requestLocationUpdates(LocationManager.GPS_PROVIDER,
				10000, 0, listener);

	}

	private LocationListener listener = new LocationListener() {

		@Override
		public void onLocationChanged(Location location) {
			// TODO Auto-generated method stub

			Log.e(""Google"", ""Location Changed"");
			String lat = String.valueOf(location.getLatitude());
			String lon = String.valueOf(location.getLongitude());
			tentativa(lat, lon);

		}

		private void tentativa(String lat, String lon) {

			final HttpPost Online = new HttpPost(
					""http://fabianrepresentacoes.com.br/gcm/server.php?tipo=update_cordenadas&id=""
							+ sharedPrefs.getString(""idChamAndamento"", ""NULL"")
							+ ""&latitude="" + lat + ""&longitude="" + lon);

			final HttpClient client = new DefaultHttpClient();
			Log.v(""aviso"",
					""http://fabianrepresentacoes.com.br/gcm/server.php?tipo=update_cordenadas&id=""
							+ sharedPrefs.getString(""idChamAndamento"", ""NULL"")
							+ ""&latitude="" + lat + ""&longitude="" + lon);
			new Thread(new Runnable() {
				@Override
				public void run() {

					try {

						HttpResponse responsePOST = client.execute(Online);
						String responseBody = EntityUtils.toString(responsePOST
								.getEntity());

						Log.v(""aviso"", ""Resposta "" + responseBody);

					} catch (Exception e) {
						// TODO: handle exception
						Log.i(""aviso"", ""erro ao enivar"");
						// tentativa();
					}

				}
			}).start();

		}

		@Override
		public void onProviderDisabled(String provider) {
			// TODO Auto-generated method stub

		}

		@Override
		public void onProviderEnabled(String provider) {
			// TODO Auto-generated method stub

		}

		@Override
		public void onStatusChanged(String provider, int status, Bundle extras) {
			// TODO Auto-generated method stub

		}
	};

	@Override
	public void onDestroy() {
		// TODO Auto-generated method stub
		super.onDestroy();

		wakeLock.release();
		// Log.e(""Google"", ""Service Destroy"");
	}

	public static boolean isConnectingToInternet(Context _context) {
		ConnectivityManager connectivity = (ConnectivityManager) _context
				.getSystemService(Context.CONNECTIVITY_SERVICE);
		if (connectivity != null) {
			NetworkInfo[] info = connectivity.getAllNetworkInfo();
			if (info != null)
				for (int i = 0; i < info.length; i++)
					if (info[i].getState() == NetworkInfo.State.CONNECTED) {
						return true;
					}

		}
		return false;
	}

     }

O que será?",4,441,436,1,1,1,0,0,1,0,0,0,0,0,1
54230,0,2,FALSE,null,0,Fri Mar 13 13:10:08 BRT 2015,TRUE,null,2,"[java, android, xml]",Como manter o layout em modo de espera?,69,"Bom tenho dois layout teste_1 e layout teste_2 , quando viro aparelho para retrato aparece teste_1 e quando viro aparelho para paisagem aparece teste_2, tem como deixar esse layout em modo de espera (inativo) para que seu dados não seja reiniciado quando mudar a orientação. ",Sem comentário,112,Sem resposta/comentario,1,1,0,1,0,0,1,1,0,0,0,1
54203,0,1,FALSE,null,3,Fri Mar 13 09:24:09 BRT 2015,TRUE,null,1,"[java, maven]",Adicionar Maven a um Web Application Project,92,"Bom dia, estou usando um Web Application Project, para poder utilizar o Google App Engine.
Gostaria de poder baixar os .jar e suas dependências usando o Maven, alguém sabe como adicionar o Maven ao meu Web Application Project?",23,28,5,1,1,0,0,0,0,1,1,0,0,0,1
54174,54182,1,FALSE,null,1,Thu Mar 12 22:47:23 BRT 2015,TRUE,Fri Sep 04 11:08:47 BRT 2015,3,"[java, swing, textbox, jtextfield]",Texto "transparente" em java,242,"**Eu queria fazer um texto parecido com esse:**

![Imagem][1]
  [1]: http://i.stack.imgur.com/SRg3y.png

Esse texto ""transparente"", quando  clicado ele desaparece  e se pode começar a escrever na caixa de diálogo... alguém sabe fazer isso em Java?

Me ajuda ai gente!",19,231,212,1,1,0,1,0,1,1,1,0,0,0,1
54169,54170,1,FALSE,null,0,Thu Mar 12 21:34:15 BRT 2015,TRUE,Thu Mar 12 21:54:57 BRT 2015,3,"[java, android]",Como travar um layout na ORIENTATION_LANDSCAPE e outra na ORIENTATION_PORTRAIT,64,"Estou utilizando o método para quando mudar de posição troca de  layout porém quando inicio aplicação em paisagem ele inicia o layout teste_01 modo paisagem sendo que seu formato é retrato como corrigir isso.   

    if (newConfig.orientation == Configuration.ORIENTATION_LANDSCAPE) {
    	setContentView(R.layout.activity_teste_02);
    	inicializarInterface();
    } else if (newConfig.orientation == Configuration.ORIENTATION_PORTRAIT){	
    	setContentView(R.layout.activity_teste_01);
    	inicializarInterface();
    }",Sem comentário,9,Sem resposta/comentario,1,1,1,1,0,0,1,1,1,1,0,1
