ID PERGUNTA,ID RESPOSTA ACEITA,QUANTIDADE DE RESPOSTAS,FECHADA,DATA FECHAMENTO,QUANTIDADE COMENTÁRIO,DATA CRIAÇÃO,FOI RESPONDIDA,ÚLTIMA DATA DE EDIÇÃO,PONTOS,TAGS,TITLE,QUANTIDADE VISUALIZAÇÕES,DESCRIÇAO,QUANTIDADADE DE VOTOS (down),FOI VOTADA (down),QUANTIDADE DE VOTOS (up),QUANTIDADE DE VOTOS DELETADOS,FOI VOTADA (up),TEMPO (minutos) ENTRE PERGUNTA E 1º COMENTARIO,TEMPO (minutos) ENTRE PERGUNTA E 1ª RESPOSTA,TEMPO (minutos) ENTRE 1º COMENTARIO E 1ª RESPOSTA,COERENCIA ENTRE TITULO E DESCRICAO,TITULO BEM DEFINIDO,EXEMPLO,USO DA NORMA CULTA,SER EDUCADO,DETALHE DO CONTEXTO DO PROBLEMA,DESCRICAO CURTA,OBJETIVIDADE,CLAREZA,PERGUNTA BEM DEFINIDA,EVITAR CRIAR PERGUNTAS DUPLICADAS,EVITAR CRIAR PERGUNTAS SOBRE TARABALHOS ACADEMICOS
106309,106320,1,false,null,1,Thu Dec 31 10:01:28 BRT 2015,true,Thu Dec 31 15:44:53 BRT 2015,3,"[java, eclipse, javafx]",Configurar para Eclipse mostrar nome dos parâmetros no auto-completar,49,"As vezes o eclipse, ele mostra no auto-completar os nomes das variáveis de um jeito mais fácil de entender. Por exemplo, se nessa linha em pressionar ctrl+Espaço :

    BufferedImage img = new BufferedImage();
Ele mostra entre outros **BufferedImage(int width,int height, int imageType)**


Mas se eu uso algo do JavaFX as vezes não aparece, por exemplo se eu usar :

    PixelWriter pw = writableImage.getPixelWriter();
    pw.setArgb();
Ele mostra : **pw.setArgb(int arg0,int arg1,int arg2)**

Tem como configurar isso, pra mostrar mais fácil em todos?",0,false,0,0,false,58,97,38,1,1,1,1,0,1,1,1,1,1,0,1
106292,106299,1,false,null,0,Thu Dec 31 07:00:09 BRT 2015,true,Wed Aug 31 17:40:45 BRT 2016,4,"[java, android, android-notification]",Parar o toque(som) da notificação,40,"tenho uma aplicação Android que desperta com o toque padrão de notificação do sistema. O problema é que, quando ele clica na notificação o alarme não para.

Eu uso uma classe para notificação e uma com o BroadcastReceiver

    public class LembreteSessao extends BroadcastReceiver {
    private static final String TAG = ""Sessao"";
    public static final String ACTION = "".Alarm.Lembretes.LEMBRE_SESSAO"";
    private int codigo;
    Ringtone toque = null;
    //CLASSE CHAMADA PELO MANIFEST NO HORARIO DO ALARME
    @Override
    public void onReceive(Context context, Intent intent) {

        Calendar calendar = Calendar.getInstance();
        calendar.setTimeInMillis(System.currentTimeMillis());

        int Hora = calendar.get(Calendar.HOUR_OF_DAY);
        int Minu = calendar.get(Calendar.MINUTE);

        Date time = new Date(00, 00, 00, Hora, Minu);
        SimpleDateFormat timeFormat = new SimpleDateFormat(""HH:mm"");
        String currentTime = timeFormat.format(time);

        String config = this.verificarAlerta(context);
        if (config.equals(""A"")){
            //toque do sistema
            Uri som = RingtoneManager.getDefaultUri(RingtoneManager.TYPE_NOTIFICATION);
            toque = RingtoneManager.getRingtone(context, som);
            toque.play();
        }
        if (config.equals(""B"")){
            //vibrar suave
            Vibrator vibrator = (Vibrator) context.getSystemService(Context.VIBRATOR_SERVICE);
            vibrator.vibrate(1000);
            Log.d(TAG, ""Sessao: "" + new Date());
        }
        if (config.equals(""C"")){
            //vibrar intenso
            Vibrator vibrator = (Vibrator) context.getSystemService(Context.VIBRATOR_SERVICE);
            vibrator.vibrate(3000);
            Log.d(TAG, ""Sessao: "" + new Date());
        }
        if (config.equals(""D"")){
            //tocar e vibrar
            Uri som = RingtoneManager.getDefaultUri(RingtoneManager.TYPE_NOTIFICATION);
            toque = RingtoneManager.getRingtone(context, som);
            toque.play();

            Vibrator vibrator = (Vibrator) context.getSystemService(Context.VIBRATOR_SERVICE);
            vibrator.vibrate(2000);
            Log.d(TAG, ""Sessao: "" + new Date());
        }

        codigo = intent.getIntExtra(""ID_SESSAO"", 0);
        Intent notifIntent = new Intent(context, lembrete_sessao.class);

        notifIntent.putExtra(""ID_SESSAO"",codigo);
        notifIntent.putExtra(""TIME"", currentTime);

        NotificationUtil.create(context, 3, notifIntent, R.mipmap.ic_launcher, ""Sessao"", ""Verifique a Sessao"");

    }

E uso tambem a de notificação:

    public static void create(Context context, int id, Intent intent,int smallIcon, String contentTitle, String contentText) {

        NotificationManager manager = (NotificationManager) context.getSystemService(Context.NOTIFICATION_SERVICE);

        // Intent para disparar o broadcast

        PendingIntent p = PendingIntent.getActivity(context, id, intent, 0);

        // Cria a notification
        NotificationCompat.Builder builder = new NotificationCompat.Builder(context);
        builder.setTicker("""");
        builder.setContentTitle(contentTitle);
        builder.setSmallIcon(smallIcon);
        builder.setContentIntent(p);
        builder.setContentText(contentText);

        // Dispara a notification
        Notification n = builder.build();
        n.flags = Notification.FLAG_AUTO_CANCEL;

        manager.notify(R.drawable.ic_launcher, n);     

        Log.d(TAG, ""Notification criada com sucesso"");
    }

Como eu faço para que, quando o usuario clicar na notificação, o Ringtone finalize? Procurei ja por algo como onDestroy no Receiver, mas não achei e nao sei se fuciona assim.",0,false,0,0,false,Sem comentário,72,Sem resposta/comentario,1,1,1,0,0,0,0,0,0,0,0,1
106270,0,1,false,null,4,Wed Dec 30 23:26:22 BRT 2015,true,null,1,"[java, swing, jframe]",JFrame abrindo repetidamente duas vezes,36,"sou novo em programação para desktop, bom, estou fazendo um programa em java usando swing e banco de dados sqlite, já fiz algumas coisas funcionarem, porém após o login o jframe que deveria abrir uma unica vês abre duas vezes, alguém sabe como corrigir isto?
 
Segue o coidigo
 
 
     private void entrar() {
 
        String sql = ""select * from login where usuario = ? and senha = ?"";
 
        try {
            conn = conexao.ConnectionDB();         
            
            pst = conn.prepareStatement(sql);
            pst.setString(1, nomeUser.getText());
            pst.setString(2, senhaUser.getText());
 
            rs = pst.executeQuery();
 
            if (rs.next()) {
                
               new TelaPrincipal().setVisible(true);
               this.dispose();
               
            } else {
                JOptionPane.showMessageDialog(null, ""Login inexistente"");
            }
 
        } catch (Exception e) {
 
            JOptionPane.showMessageDialog(null, e);
 
        }
 
    }",0,false,0,0,false,587,619,32,1,1,1,1,0,1,1,0,0,0,0,1
106244,106248,2,false,Thu Dec 31 08:00:09 BRT 2015,2,Wed Dec 30 18:30:59 BRT 2015,true,null,0,"[php, java, segurança]",Autenticação com segurança entre sistemas distintos,46,"Meu cenário é o seguinte: Um sistema em php autentica o usuário e deve chamar a minha aplicação(Java) informando que usuário é este.
A minha aplicação não autentica este usuário, apenas recebe um identificador dele e carrega as informações que precisa.
A dúvida é: **Como fazer a comunicação entre sistemas com segurança ?** Hoje tenho um Servlet no Java que recebe uma chamada http post informando o id do usuário, porém qualquer um que interceptar essa requisição pode se autenticar.",0,false,0,0,false,159,31,-127,1,1,0,1,0,1,1,1,0,0,0,1
106229,106430,1,false,null,0,Wed Dec 30 16:46:17 BRT 2015,true,Sun Jan 24 12:17:29 BRT 2016,0,"[java, android, mobile, android-fragment]","Como fazer no WizzardPager, construir uma Fragment de acordo com a escolha do usuário?",28,"Estou usando o WizzardPager baseado nesse [aqui][1]. Porém o que quero é basicamente o usuário escolhe o sexo da pessoa, e passa pra outra tela do WizzardPager onde nesta, irá escolher a etnia dela, de acordo com a escolha do sexo. Por exemplo: se a escolha de sexo foi ""Masculino"", as opções de etnia será ""negro"", ""pardo"", ""caucasiano""; caso escolheu sexo ""Feminino"", as opções de etnia será ""negra"", ""parda"", ""caucasiana"".

Porém a tela de sexo aparece normalmente, e seleciona um sexo, mas não passa pra tela correspondente a escolha do sexo, não aparece. Existe uma alternativa, pois estou usando o BranchPage do [WizzardPager][1]?


  [1]: https://github.com/TechFreak/WizardPager",0,false,0,0,false,Sem comentário,4242,Sem resposta/comentario,1,0,1,0,0,0,1,1,1,1,0,1
106218,106300,1,false,null,2,Wed Dec 30 15:58:06 BRT 2015,true,Mon Jan 04 08:28:52 BRT 2016,3,[java],Gerar arquivo .txt com tres colunas,117,"Tenho um sistema onde faço algumas pesquisas no banco e armazeno tudo em um `Array`, porém tenho que montar um layout com esses dados paras que eles possam ser impressos como etiquetas em uma impressora matricial.

A parte das linhas eu já formatei, porém não sei como fazer para que o próximo registro da lista ao invés de ir pra próxima linha vire uma coluna.

Eu preciso deixar dessa forma:

[![inserir a descrição da imagem aqui][1]][1]


O que eu consigo obter atualmente é isso: 

[![inserir a descrição da imagem aqui][2]][2]

Nesse caso minha consulta retornou apenas dois resultados, o certo seria colocar essa segunda linha em uma coluna como na primeira imagem.

Essa é minha classe que gera o `txt`:

    public static void gerarTxt(List<Contrato> lista) {
    
    		try {
    			FileWriter arq = new FileWriter(""C:\\etiqueta.txt"");
    			PrintWriter gravarArq = new PrintWriter(arq);
    			for (Contrato item : lista) {
    				gravarArq.print(item.getContrato());
    				gravarArq.print(""\r\n"");
    				gravarArq.print(item.getContratante());
    				gravarArq.print(""\r\n"");
    				gravarArq.print(item.getRua().trim()+"", ""+item.getNumero());
    				gravarArq.print(""\r\n"");
    				gravarArq.print(item.getBairro());
    				gravarArq.print(""\r\n"");
    				gravarArq.print(item.getCep() + "" ""+item.getCidade()+ "" ""+StringUtils.leftPad(item.getUf(), 22));
    				gravarArq.print(""\r\n"");
    				gravarArq.print(""."");
    				gravarArq.print(""\r\n"");
    			}
    			arq.close();
    		} catch (IOException e) {
    			e.printStackTrace();
    		}
    	}

Como posso transformar essas linhas em colunas?

-----

**Update**

Exemplo do projeto no GitHub: https://github.com/sinkz/EtiquetaTeste


  [1]: http://i.stack.imgur.com/MvWYE.png
  [2]: http://i.stack.imgur.com/HPz3f.png
",0,false,0,0,false,62,992,930,1,1,1,1,0,0,1,1,1,1,0,1
106216,106275,1,false,null,2,Wed Dec 30 15:49:30 BRT 2015,true,null,1,[java],Uso de Swing no java EE,45,"Boa Tarde, quando o programador trabalha com java WEB, ele gera interface grafica  usando a classe javax.swing como em Desktop? ",0,false,0,0,false,21,502,481,1,1,0,1,0,1,1,1,0,0,0,1
106171,0,0,false,null,6,Wed Dec 30 13:07:50 BRT 2015,false,null,0,"[java, android, android-studio]",Reiniciar o Celular,40,"Alguma dica de código para reiniciar o celular após uma ação?

Exemplo: Após realizar o backup, preciso que o celular reinicie para terminar as configurações. ",0,false,0,0,false,49,Sem Resposta,Sem resposta/comentario,1,0,1,0,0,0,1,1,1,1,0,1
106096,106097,2,false,null,0,Wed Dec 30 07:23:13 BRT 2015,true,Mon Jan 04 08:59:03 BRT 2016,3,"[java, string, comparação]",Comparar valor em cada posição da String no Java?,100,"Estou tendo dificuldades em comparar um valor em cada posição de uma `String`, segue o exemplo abaixo:

    parametro = ""30,60,90"";
	private int countVirgulas(String parametro) {
	    int count = 0;
	    for (int i = 0; i <= parametro.length(); i++) {
	        if (parametro.substring(i).equals("","")) {
	            count += count;
	        }
	    }
	    return count;
	}

Por exemplo eu tenho uma `String` com o valor ""30,60,90"".

Gostaria de comparar em cada posição dela e onde tiver vírgula, e incrementar no `count`.

No exemplo acima o `count` me retorna 2?",0,false,0,0,false,Sem comentário,19,Sem resposta/comentario,1,1,1,1,0,0,1,1,1,1,0,1
106078,0,2,false,null,9,Tue Dec 29 23:09:30 BRT 2015,false,Wed Dec 30 12:29:20 BRT 2015,1,"[java, sqlite, swing]",Como resolver o java.lang.nullpointerexception em aplicação com sqlite?,78,"Estou tendo problema com essa exceção. Tenho visto alguns tutoriais aqui, mas nenhum deles pode resolver o meu problema. Inclusive as respostas de perguntas parecidas não puderam satisfazer a minha necessidade.

Estou fazendo uma aplicação desktop com java e SQLite. 

Acho que o erro está aqui, pois ele só aparece na hora de logar, porém eu segui o tutorial a risca, mas na hora de apertar o enter aparece o erro:

>   java.lang.nullpointerexception.

Segue o código para vocês analisarem:

       private void entrar() {
        
        String sql = ""SELECT * FROM logins WHERE usuario = ? and senha = ?"";
        
        try {
            
            pst = conn.prepareStatement(sql);
            pst.setString(1, nomeUser.getText());
            pst.setString(2, senhaUser.getText());
            
            rs = pst.executeQuery();
            
            if(rs.next()){
                 JOptionPane.showMessageDialog(null, ""Login efetuado com sucesso"");
            }else{
                 JOptionPane.showMessageDialog(null, ""Login inexistente"");
            }
            
        } catch (Exception e) {
            
            JOptionPane.showMessageDialog(null, e);
            
        }
        
    }



O erro completo seria

    Exception in thread ""AWT-EventQueue-0"" java.lang.NullPointerException
    	at forms.login.entrar(login.java:156)
    	at forms.login.btnEntrarKeyPressed(login.java:136)
    	at forms.login.access$100(login.java:21)
    	at forms.login$2.keyPressed(login.java:83)
    	at java.awt.Component.processKeyEvent(Component.java:6493)
    	at javax.swing.JComponent.processKeyEvent(JComponent.java:2832)
    	at java.awt.Component.processEvent(Component.java:6312)
    	at java.awt.Container.processEvent(Container.java:2236)
    	at java.awt.Component.dispatchEventImpl(Component.java:4891)
    	at java.awt.Container.dispatchEventImpl(Container.java:2294)
    	at java.awt.Component.dispatchEvent(Component.java:4713)
    	at java.awt.KeyboardFocusManager.redispatchEvent(KeyboardFocusManager.java:1954)
    	at java.awt.DefaultKeyboardFocusManager.dispatchKeyEvent(DefaultKeyboardFocusManager.java:806)
    	at java.awt.DefaultKeyboardFocusManager.preDispatchKeyEvent(DefaultKeyboardFocusManager.java:1074)
    	at java.awt.DefaultKeyboardFocusManager.typeAheadAssertions(DefaultKeyboardFocusManager.java:945)
    	at java.awt.DefaultKeyboardFocusManager.dispatchEvent(DefaultKeyboardFocusManager.java:771)
    	at java.awt.Component.dispatchEventImpl(Component.java:4762)
    	at java.awt.Container.dispatchEventImpl(Container.java:2294)
    	at java.awt.Window.dispatchEventImpl(Window.java:2750)
    	at java.awt.Component.dispatchEvent(Component.java:4713)
    	at java.awt.EventQueue.dispatchEventImpl(EventQueue.java:758)
    	at java.awt.EventQueue.access$500(EventQueue.java:97)
    	at java.awt.EventQueue$3.run(EventQueue.java:709)
    	at java.awt.EventQueue$3.run(EventQueue.java:703)
    	at java.security.AccessController.doPrivileged(Native Method)
    	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:76)
    	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:86)
    	at java.awt.EventQueue$4.run(EventQueue.java:731)
    	at java.awt.EventQueue$4.run(EventQueue.java:729)
    	at java.security.AccessController.doPrivileged(Native Method)
    	at java.security.ProtectionDomain$JavaSecurityAccessImpl.doIntersectionPrivilege(ProtectionDomain.java:76)
    	at java.awt.EventQueue.dispatchEvent(EventQueue.java:728)
    	at java.awt.EventDispatchThread.pumpOneEventForFilters(EventDispatchThread.java:201)
    	at java.awt.EventDispatchThread.pumpEventsForFilter(EventDispatchThread.java:116)
    	at java.awt.EventDispatchThread.pumpEventsForHierarchy(EventDispatchThread.java:105)
    	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:101)
    	at java.awt.EventDispatchThread.pumpEvents(EventDispatchThread.java:93)
    	at java.awt.EventDispatchThread.run(EventDispatchThread.java:82)

",0,false,0,0,false,4,Sem Resposta,Sem resposta/comentario,1,1,1,0,0,1,0,0,0,0,0,1
